"release_year","genre","region","sales"
1981,"Action","North America",13.86
1981,"Platform","North America",6.47
1981,"Puzzle","North America",2.09
1981,"Racing","North America",0.45
1981,"Shooter","North America",9.37
1981,"Simulation","North America",0.42
1981,"Sports","North America",0.74
1981,"Action","European Union",0.81
1981,"Platform","European Union",0.37
1981,"Puzzle","European Union",0.13
1981,"Racing","European Union",0.03
1981,"Shooter","European Union",0.56
1981,"Simulation","European Union",0.02
1981,"Sports","European Union",0.04
1981,"Action","Japan",0.00
1981,"Platform","Japan",0.00
1981,"Puzzle","Japan",0.00
1981,"Racing","Japan",0.00
1981,"Shooter","Japan",0.00
1981,"Simulation","Japan",0.00
1981,"Sports","Japan",0.00
1981,"Action","Other",0.12
1981,"Platform","Other",0.08
1981,"Puzzle","Other",0.03
1981,"Racing","Other",0.00
1981,"Shooter","Other",0.09
1981,"Simulation","Other",0.00
1981,"Sports","Other",0.00
1981,"Action","Worldwide",14.84
1981,"Platform","Worldwide",6.93
1981,"Puzzle","Worldwide",2.24
1981,"Racing","Worldwide",0.48
1981,"Shooter","Worldwide",10.04
1981,"Simulation","Worldwide",0.45
1981,"Sports","Worldwide",0.79
