"release_year","genre","region","sales"
2000,"Action","North America",17.79
2000,"Adventure","North America",1.01
2000,"Fighting","North America",9.69
2000,"Misc","North America",7.14
2000,"Platform","North America",7.87
2000,"Puzzle","North America",1.73
2000,"Racing","North America",11.00
2000,"Role-Playing","North America",7.20
2000,"Shooter","North America",4.00
2000,"Simulation","North America",1.11
2000,"Sports","North America",22.75
2000,"Strategy","North America",3.21
2000,"Action","European Union",10.84
2000,"Adventure","European Union",0.69
2000,"Fighting","European Union",6.31
2000,"Misc","European Union",4.91
2000,"Platform","European Union",4.64
2000,"Puzzle","European Union",0.93
2000,"Racing","European Union",6.50
2000,"Role-Playing","European Union",4.21
2000,"Shooter","European Union",2.17
2000,"Simulation","European Union",0.77
2000,"Sports","European Union",9.77
2000,"Strategy","European Union",1.03
2000,"Action","Japan",3.74
2000,"Adventure","Japan",1.11
2000,"Fighting","Japan",3.05
2000,"Misc","Japan",2.77
2000,"Platform","Japan",2.56
2000,"Puzzle","Japan",0.98
2000,"Racing","Japan",1.15
2000,"Role-Playing","Japan",15.80
2000,"Shooter","Japan",0.20
2000,"Simulation","Japan",1.27
2000,"Sports","Japan",6.36
2000,"Strategy","Japan",3.78
2000,"Action","Other",1.61
2000,"Adventure","Other",0.15
2000,"Fighting","Other",1.21
2000,"Misc","Other",0.73
2000,"Platform","Other",0.98
2000,"Puzzle","Other",0.19
2000,"Racing","Other",1.35
2000,"Role-Playing","Other",1.84
2000,"Shooter","Other",0.46
2000,"Simulation","Other",0.22
2000,"Sports","Other",2.36
2000,"Strategy","Other",0.52
2000,"Action","Worldwide",34.04
2000,"Adventure","Worldwide",2.98
2000,"Fighting","Worldwide",20.22
2000,"Misc","Worldwide",15.54
2000,"Platform","Worldwide",16.06
2000,"Puzzle","Worldwide",3.82
2000,"Racing","Worldwide",19.99
2000,"Role-Playing","Worldwide",29.03
2000,"Shooter","Worldwide",6.81
2000,"Simulation","Worldwide",3.38
2000,"Sports","Worldwide",41.19
2000,"Strategy","Worldwide",8.52
